iter	Passed	Remaining
1689	1094	2143
1690	1095	2142
1691	1095	2142
1692	1096	2141
1693	1097	2141
1694	1097	2140
1695	1098	2140
1696	1099	2140
1697	1100	2139
1698	1100	2139
1699	1101	2138
1700	1102	2138
1701	1103	2137
1702	1103	2137
1703	1104	2136
1704	1105	2136
1705	1106	2135
1706	1106	2135
1707	1107	2134
1708	1108	2135
1709	1109	2135
1710	1110	2134
1711	1111	2135
1712	1112	2134
1713	1113	2134
1714	1114	2133
1715	1116	2135
1716	1118	2138
1717	1120	2139
1718	1120	2139
1719	1121	2139
1720	1123	2139
1721	1124	2140
1722	1125	2140
1723	1126	2141
1724	1127	2140
1725	1129	2143
1726	1131	2144
1727	1132	2144
1728	1133	2145
1729	1134	2144
1730	1135	2144
1731	1136	2144
1732	1137	2145
1733	1139	2146
1734	1140	2146
1735	1142	2148
1736	1144	2150
1737	1147	2152
1738	1148	2153
1739	1150	2154
1740	1150	2154
1741	1151	2154
1742	1154	2156
1743	1156	2158
1744	1157	2158
1745	1158	2158
1746	1158	2157
1747	1159	2157
1748	1160	2156
1749	1160	2156
1750	1161	2155
1751	1162	2154
1752	1163	2154
1753	1163	2153
1754	1164	2153
1755	1165	2152
1756	1165	2152
1757	1166	2151
1758	1167	2150
1759	1168	2150
1760	1168	2149
1761	1169	2149
1762	1170	2148
1763	1170	2148
1764	1171	2147
1765	1172	2146
1766	1173	2146
1767	1173	2145
1768	1174	2145
1769	1175	2144
1770	1175	2143
1771	1176	2143
1772	1177	2142
1773	1178	2142
1774	1178	2141
1775	1179	2141
1776	1180	2140
1777	1180	2140
1778	1181	2139
1779	1182	2139
1780	1183	2138
1781	1183	2137
1782	1184	2137
1783	1185	2136
1784	1186	2136
1785	1186	2135
1786	1187	2135
1787	1188	2134
1788	1188	2133
1789	1189	2133
1790	1190	2132
1791	1190	2132
1792	1191	2131
1793	1192	2130
1794	1193	2130
1795	1193	2129
1796	1194	2129
1797	1195	2128
1798	1195	2128
1799	1196	2127
1800	1197	2127
1801	1198	2126
1802	1198	2125
1803	1199	2125
1804	1200	2124
1805	1201	2124
1806	1201	2123
1807	1202	2123
1808	1203	2122
1809	1203	2121
1810	1204	2121
1811	1205	2120
1812	1206	2120
1813	1206	2119
1814	1207	2119
1815	1208	2118
1816	1209	2117
1817	1209	2117
1818	1210	2116
1819	1211	2116
1820	1211	2115
1821	1212	2115
1822	1213	2114
1823	1214	2113
1824	1214	2113
1825	1215	2112
1826	1216	2112
1827	1216	2111
1828	1217	2110
1829	1218	2110
1830	1218	2109
1831	1219	2109
1832	1220	2108
